pk_localidade;cd_cep;nm_logradouro;nu_logradouro;nm_bairro;nm_municipio;sg_uf;vl_latitude;vl_longitude
3238;36520000;PRACA TIRADENTES;12;CENTRO;VISCONDE DO RIO BRANCO;MG;-21,0098854;-42,8393607
3239;78745847;RUA JOSE GUSTAVO LONARDONI;101;RESIDENCIAL ACACIAS;RONDONOPOLIS;MT;-16,4654757;-54,6387229
3240;48760000;PRACA DA CONCEICAO;252B;CENTRO;ARACI;BA;-11,3362109;-38,9644691
3241;68920000;RUA GOIAS;1148;CENTRO;LARANJAL DO JARI;AP;-0,8323593;-52,4103959
3242;29330000;RODOVIA SAFRA MARATAIZES;;GARRAFAO;ITAPEMIRIM;ES;-21,0107142;-40,8338832
3244;68372618;AVENIDA ALACID NUNES;SN;JARDIM INDEPENDENTE I;ALTAMIRA;PA;-3,2111721;-52,2244439
3246;95330000;RUA MARECHAL DEODORO DA FONSECA;339;CENTRO;VERANOPOLIS;RS;-28,9427186;-51,5507365
3248;12460000;RUA MAXIMILIANO BARCELINO;100;VILA INGLESA;CAMPOS DO JORDAO;SP;-22,7428673;-45,5963557
3249;89253100;RUA JOAO JANUARIO AYROSO;1768;JARAGUA ESQUERDO;JARAGUA DO SUL;SC;-26,5043763;-49,0959788
3250;33010200;RUA DO CARMO;915A;CENTRO;SANTA LUZIA;MG;-19,7668809;-43,8612066
3251;54400000;AVENIDA BERNARDO VIEIRA DE MELO;3448;PIEDADE;JABOATAO DOS GUARARAPES;PE;-8,1829877;-34,9186822
3252;68372090;ALAMEDA POLIVALENTE;2635;JARDIM UIRAPURU;ALTAMIRA;PA;-3,2109405;-52,2176525
3253;95600000;RUA VALDOMIRO MELLO;1764;EMPRESA;TAQUARA;RS;-29,6714184;-50,7765212
3254;13010080;AVENIDA DOUTOR CAMPOS SALES;251;CENTRO;CAMPINAS;SP;-22,9068258;-47,0660953
3256;05623020;RUA ORDENACOES FILIPINAS;166;VILA MORSE;SAO PAULO;SP;-23,6007574;-46,7272137
3257;58300150;RUA SAO JOAO;118;CENTRO;SANTA RITA;PB;-7,122651;-34,9790169
3258;87345000;AVENIDA MESSIAS EDUARDO FELIX;SN;SALLES DE OLIVEIRA;CAMPINA DA LAGOA;PR;-24,5892564;-52,8261807
3259;11665100;RUA VEREADOR ANTONIO CRUZ AROUCA;357;INDAIA;CARAGUATATUBA;SP;-23,627534;-45,4240707
3261;74420230;AVENIDA CONSOLACAO;1804;VILA SANTA RITA;GOIANIA;GO;-16,6883576;-49,3204037
3262;04662001;AVENIDA WASHINGTON LUIZ;870;CHACARA FLORA;SAO PAULO;SP;-23,6576472;-46,696248
3264;49035500;AVENIDA DELMIRO GOUVEIA;400;COROA DO MEIO;ARACAJU;SE;-10,968698;-37,037173
3265;75135240;AVENIDA PEDRO LUDOVICO;SN;PARQUE CALIXTOPOLIS;ANAPOLIS;GO;-16,3439137;-48,9705321
3266;17280000;RUA CARLOS ANTONIO PONTES;1280;NOSSA SENHORA APARECIDA;PEDERNEIRAS;SP;-22,3435182;-48,7743842
3267;17010001;RUA BATISTA DE CARVALHO;2;CENTRO;BAURU;SP;-22,3235566;-49,0761412
3268;65020250;RUA OSVALDO CRUZ;73;CENTRO;SAO LUIS;MA;-2,5613147;-44,2292466
3270;14781600;AVENIDA TRES;83;FORTALEZA;BARRETOS;SP;-20,5622586;-48,5597871
3271;07991000;RUA DAS MARGARIDAS;875;VILA ESPANHOLA;FRANCISCO MORATO;SP;-23,2806427;-46,7394098
3273;89899000;RUA SAO JOSE;56;CENTRO;IPORA DO OESTE;SC;-26,9891686;-53,5350897
3274;04428160;RUA CARLOTTA MARCHISIO;304;AMERICANOPOLIS;SAO PAULO;SP;-23,6789831;-46,6587848
3276;66070790;AVENIDA CELSO MALCHER;608;TERRA FIRME;BELEM;PA;-1,4553685;-48,4522766
3277;59575000;RUA JOSEFA MARIA DA CONCEICAO;162;EXTREMOZ;EXTREMOZ;RN;-5,7060208;-35,3066799
3278;88740000;RUA MANOEL PEREIRA;117;CENTRO;ARMAZEM;SC;-28,2625024;-49,0161994
3279;84600000;RUA ALVIR RIESEMBERG;317;SAO CRISTOVAO;UNIAO DA VITORIA;PR;-26,2306196;-51,0867291
3280;78575000;RUA RINZO GUINOZA;89;JARDIM PRIMAVERA I;JUARA;MT;-11,2622944;-57,502782
3281;51130120;AVENIDA VINTE DE JANEIRO;251;BOA VIAGEM;RECIFE;PE;-8,1384012;-34,9142987
3282;45991044;RUA 12;9;URBIS III;TEIXEIRA DE FREITAS;BA;-17,5406156;-39,7412826
3283;05551000;RUA BENVENUTO DI GIOVANI;437;JARDIM RAPOSO TAVARES;SAO PAULO;SP;-23,5885114;-46,7582077
3284;39402392;RUA ADRIANO MARINHO SIQUEIRA;366A;CONJUNTO CRISTO REI;MONTES CLAROS;MG;-16,7551938;-43,8556322
3285;38950000;RUA DEZENOVE;48;CENTRO;IBIA;MG;-19,480244;-46,5440816
3286;31742033;RUA JOSE LIMA DE ALMEIDA;90;FLORAMAR;BELO HORIZONTE;MG;-19,8322893;-43,936473
3287;13187164;RUA ANGELICA;769;JARDIM SAO SEBASTIAO;HORTOLANDIA;SP;-22,8936669;-47,2213257
3289;69100093;RUA CORONEL QUEIROZ;581;CENTRO;ITACOATIARA;AM;-3,1400316;-58,44822
3290;05012020;RUA TAVARES BASTOS;682;VILA POMPEIA;SAO PAULO;SP;-23,5328646;-46,6888986
3292;29176970;RODOVIA BR 101;;CIDADE NOVA DA SERRA;SERRA;ES;-20,1145394;-40,3201435
3293;33125250;RUA ITAREMA;323;SAO BENEDITO;SANTA LUZIA;MG;-19,7896306;-43,9361747
3294;76590000;AVENIDA GOIAS;585;CENTRO;SAO MIGUEL DO ARAGUAIA;GO;-13,2727813;-50,1620087
3295;13631655;RUA JOSE RAFAEL AAD;5339;JARDIM MORUMBI;PIRASSUNUNGA;SP;-22,0323003;-47,4228948
3296;90020120;RUA DOUTOR FLORES;22;CENTRO;PORTO ALEGRE;RS;-30,0273045;-51,2242998
3297;83402000;RODOVIA DA UVA;1236;ROCA GRANDE;COLOMBO;PR;-25,3529633;-49,219311
3298;49560000;AVENIDA EUCLIDES PAES MENDONCA;157;CENTRO;MOITA BONITA;SE;-10,5812556;-37,3431792
3299;15035320;RUA SAO BENTINHO;38;GONZAGA DE CAMPOS;SAO JOSE DO RIO PRETO;SP;-20,8106991;-49,4265375
3301;04842210;RUA ADEMAR CAMPOS DA SILVA;873;PARQUE GRAJAU;SAO PAULO;SP;-23,7432816;-46,6869558
3302;63100320;PRACA JUAREZ TAVORA;15;CENTRO;CRATO;CE;-7,2312684;-39,4108094
3303;58755000;AVENIDA CORONEL FLORENTINO;SN;CENTRO;PRINCESA ISABEL;PB;-7,7367888;-37,9878531
3304;05818300;RUA JOAQUIM CONSTANTINO;16;JARDIM VERGUEIRO;SAO PAULO;SP;-23,6646314;-46,7329141
3306;64450000;RUA VE JOAO;23;CENTRO;MONSENHOR GIL;PI;-5,5541718;-42,6104246
3308;92330001;AVENIDA RIO GRANDE DO SUL;3016;MATHIAS VELHO;CANOAS;RS;-29,9015355;-51,2128188
3310;75860000;RUA BENEDITO LEMES DO PRADO;108B;MUNICIPAL;QUIRINOPOLIS;GO;-18,4476442;-50,4551598
3311;62270000;RUA 27 DE DEZEMBRO;404;CENTRO;HIDROLANDIA;CE;-4,3968151;-40,4348691
3312;45603835;RUA PAULO TELES;16;SANTA INES;ITABUNA;BA;-14,7700379;-39,2715043
3313;13214565;AVENIDA DOUTOR MANOEL ILDEFONSO ARCHER DE CASTILHO;219;PARQUE DA REPRESA;JUNDIAI;SP;-23,1623662;-46,9124263
3314;38045610;RUA JOSE LUIZ DIEGUEZ;69;MARGARIDA R AZEVEDO;UBERABA;MG;-19,776274;-47,9664802
3315;65054660;AVENIDA LESTE OESTE;1;COHATRAC II;SAO LUIS;MA;-2,5391099;-44,2829046
3317;36660970;RUA CORONEL OSCAR CORTES;64;CENTRO;ALEM PARAIBA;MG;-21,8820327;-42,6958751
3318;11900000;AVENIDA PREFEITO JONAS BANKS LEITE;594;CENTRO;REGISTRO;SP;-24,4916246;-47,8425803
3319;45820006;AVENIDA PORTO SEGURO;418;CENTRO;EUNAPOLIS;BA;-16,3742938;-39,5847745
3321;62370000;RUA APOLONIO DE BARROS;315;CENTRO;SAO BENEDITO;CE;-4,043835;-40,8649138
3322;39480000;AVENIDA CONEGO RAMIRO LEITE;335;CENTRO;JANUARIA;MG;-15,4825383;-44,3659619
3323;69010040;RUA SALDANHA MARINHO;603;CENTRO;MANAUS;AM;-3,1327545;-60,022961
3324;55002200;RUA VIGARIO FREIRE;146;CENTRO;CARUARU;PE;-8,2855422;-35,969305
3326;76400000;AVENIDA CORONEL GASPAR;SN;SAO SEBASTIAO;URUACU;GO;-14,5211962;-49,1523542
3327;03071050;RUA ICARAI;210;TATUAPE;SAO PAULO;SP;-23,5343004;-46,5612415
3328;49140000;VIA OCEANICA;15;CENTRO;BARRA DOS COQUEIROS;SE;-10,9114201;-37,0295788
3330;54230075;AVENIDA DOM HELDER CAMARA UR;11;ZUMBI DO PACHECO;JABOATAO DOS GUARARAPES;PE;-8,13574;-34,9700217
3331;88730000;RUA DONA VERONICA;;PARQUE DAS ACACIAS;SAO LUDGERO;SC;-28,3286977;-49,1811351
3333;48860000;AVENIDA NONATO MARQUES;14;CENTRO;QUEIMADAS;BA;-10,9791655;-39,6248358
3334;46860000;TRAVESSA PACIFICO TEIXEIRA RAMOS;16;CENTRO;IACU;BA;-12,7700462;-40,2148838
3335;04675130;RUA OLGA GENIOLI LEITE;35;JURUBATUBA;SAO PAULO;SP;-23,6713047;-46,6969762
3336;47300000;QUADRA CONDE;;CENTRO;CASA NOVA;BA;-9,1697114;-40,9714285
3337;36340000;PRACA CORONEL SOUZA MAIA;15;CENTRO;RESENDE COSTA;MG;-20,9233351;-44,2378882
3338;89012401;RUA 7 DE SETEMBRO;2581;VELHA;BLUMENAU;SC;-26,913024;-49,0794664
3339;03575000;RUA UACUMA;315;JARDIM SANTA MARIA;SAO PAULO;SP;-23,5554114;-46,509995
3340;59770000;RUA FRANCISCO DUTR DE ALMEIDA;72;CENTRO;PATU;RN;-6,1058672;-37,6417092
3341;74465340;RUA PERSONA;;JARDIM NOVA ESPERANCA;GOIANIA;GO;-16,646951;-49,3239685
3342;07241100;RUA ESTANCIA;353;JARDIM ANSALCA;GUARULHOS;SP;-23,4465313;-46,4224688
3343;96080000;AVENIDA UM;2067;CENTRO;PELOTAS;RS;-31,7331629;-52,3914748
3344;78058266;RUA 36;16;CPA 3;CUIABA;MT;-15,5652324;-56,0322246
3345;37200000;RUA PROFAZARIAS RIBEIRO;11;CENTRO;LAVRAS;MG;-21,2458298;-45,0027871
3346;04814560;RUA ANTONIO ALFREDO CAMPOS;460;JARDIM GUANHEMBU;SAO PAULO;SP;-23,7253602;-46,6790238
3347;04562031;RUA ARANDU;675;BROOKLIN;SAO PAULO;SP;-23,6065598;-46,6904085
3348;44032168;RUA H;1;CAMPO LIMPO;FEIRA DE SANTANA;BA;-12,2054636;-38,9693343
3349;77600000;RUA FIRMINO MENDES;278;CENTRO;PARAISO DO TOCANTINS;TO;-10,1687933;-48,8832636
3350;93700000;RUA HELIO NEGRINI;181;SOLAR DO CAMPO;CAMPO BOM;RS;-29,6614761;-51,0579244
3351;58385000;FAZENDA CHUPADOURO;SN;;SERRA REDONDA;PB;-6,433333;-37,616667
3352;99300000;RUA CESAR SANTOS;46;BOTUCARAI;SOLEDADE;RS;-28,8141032;-52,4905909
3353;57074090;RUA DAS MANGUEIRAS;55B;CIDADE UNIVERSITARIA;MACEIO;AL;-9,5521273;-35,7481954
3354;64860000;RUA TRAVESSA ANTONIO CARDOSO;SN;AREIA;URUCUI;PI;-7,2338901;-44,5540423
3356;39670000;AVENIDA TANCREDO NEVES;341;SAO JOAO BATISTA;ITAMARANDIBA;MG;-17,8694687;-42,8661281
3357;01024000;RUA DA CANTAREIRA;66;CENTRO;SAO PAULO;SP;-23,5489433;-46,6388182
3358;08665060;RUA DIREITA;54;JARDIM ANZAI;SUZANO;SP;-23,5538863;-46,314224
3359;30441090;PRACA LEONARDO GUTIERREZ;195;GUTIERREZ;BELO HORIZONTE;MG;-19,9354784;-43,9598817
3360;86820000;RUA JOAO VOLTARELLI;16;CENTRO;CALIFORNIA;PR;-23,6649464;-51,3568544
3362;88058300;RUA JOAO GUALBERTO SOARES;9799;RIO VERMELHO;FLORIANOPOLIS;SC;-27,5189881;-48,4239647
3363;;;;;;;-23,4563693;-46,4592256
3364;96230000;RUA MIRAPALHETE;1282;CENTRO;SANTA VITORIA DO PALMAR;RS;-33,5338265;-53,3495659
3366;44003095;RUA BARO DO RIO BRANCO;313A;CENTRO;FEIRA DE SANTANA;BA;-12,2637319;-38,9604081
3367;15015500;RUA CORONEL SPINOLA DE CASTRO;2735;CENTRO;SAO JOSE DO RIO PRETO;SP;-20,8085213;-49,3802419
3368;13179293;RUA AMANDIO DOS SANTOS RODRIGUES GRACIO;115;JARDIM SANTA ROSA NOVA VENEZA;SUMARE;SP;-22,8209029;-47,2732726
3369;03008000;RUA MONSENHOR ANDRADE;5;BRAS;SAO PAULO;SP;-23,5451367;-46,6205081
3370;76450000;AVENIDA MARANHAO;453;CENTRO;MINACU;GO;-13,5256264;-48,2038121
3371;01018010;RUA 11 DE AGOSTO;68;CENTRO;SAO PAULO;SP;-23,5519325;-46,6337759
3373;85601600;RUA PONTA GROSSA;2040;CENTRO;FRANCISCO BELTRAO;PR;-26,0789428;-53,0559271
3374;40435360;RUA LUCIANO AMORIM;18;MASSARANDUBA;SALVADOR;BA;-12,9262227;-38,4960247
3375;57580000;RUA VEREADOR OLAVO MENDES;391A;CENTRO;MAJOR ISIDORO;AL;-9,5294524;-36,9857444
3376;62020520;RUA CORONEL SABINO GUIMARAES;101;ALTO DO CRISTO;SOBRAL;CE;-3,6893266;-40,3604653
3377;64280000;AVENIDA DEMERVAL LOBAO;814;CENTRO;CAMPO MAIOR;PI;-4,8256841;-42,165933
3378;48120000;TRAVESSA TERCEIRA TRAVESSA PAULO SILVA;42;POJUCA NOVA;POJUCA;BA;-12,4308263;-38,3281873
3379;59240000;FAZENDA SANTA MARGARIDA;8A;ZONA RURAL;TANGARA;RN;-6,1968905;-35,7992094
3381;79009760;AVENIDA NOROESTE;55;AMAMBAI;CAMPO GRANDE;MS;-20,4613759;-54,6315139
3382;21520010;RUA AFONSO TERRA;961;PAVUNA;RIO DE JANEIRO;RJ;-22,8162975;-43,3596144
3383;04334150;RUA HILDEBRANDO SIQUEIRA;589;VILA FACHINI;SAO PAULO;SP;-23,6615003;-46,639316
3384;89270000;RUA JOAO BATISTA OLINGER;56;CENTRO;GUARAMIRIM;SC;-26,4759028;-48,9953357
3385;35640000;RUA COLETORA UM;342;CRUZ DAS ALMAS;POMPEU;MG;-19,2211913;-44,9854117
3386;78048410;RUA CARANDA;233;ALVORADA;CUIABA;MT;-15,5804234;-56,0804572
3387;58275000;RUA MIGUEL VITORINO OLIVEIRA;148;CENTRO;ITAPOROROCA;PB;-6,8308398;-35,2470491
3389;78850000;AVENIDA CALIFORNIA;781;PRIMAVERA 3;PRIMAVERA DO LESTE;MT;-15,5318321;-54,3253351
3391;84178275;RUA KARL JOSEPH HOFFMAN;1;CANTAGALO;CASTRO;PR;-24,8156183;-49,9985203
3392;12900002;RUA CORONEL TEOFILO LEME;1467;CENTRO;BRAGANCA PAULISTA;SP;-22,9505032;-46,5415921
3394;60421190;RUA SANTO AMARO;200;PLANALTO DO PICI;FORTALEZA;CE;-3,753573;-38,5778215
3395;29770000;AVENIDA PRESIDENTE VARGAS;269;CENTRO;MANTENOPOLIS;ES;-18,8608116;-41,1195829
3396;37465000;RUA JOSE DE C BRITO;167;CENTRO;VIRGINIA;MG;-22,335378;-45,0947148
3398;;;;;;;-4,4605557;-43,88945
3399;44044430;ESTRADA DA PEDRA FERRADA;80;ASA BRANCA;FEIRA DE SANTANA;BA;-12,2079249;-38,9976024
3400;84010300;RUA BENEMERITO TE VI;SN;VILA REAL;PONTA GROSSA;PR;-25,0994246;-50,1583223
3401;43700000;RUA DA ARUEIRA;SN;CENTRO;SIMOES FILHO;BA;-12,7884913;-38,4036051
3402;15045000;AVENIDA MIRASSOLANDIA;1219;CONJUNTO HABITACIONAL COSTA DO SOL;SAO JOSE DO RIO PRETO;SP;-20,7824797;-49,3975951
3404;32673192;RUA LAELIA;93;JARDIM DAS ALTEROSAS 2A SECAO;BETIM;MG;-19,9397382;-44,1680982
3406;45606290;RUA SANTOS DUMONT;386;SAO PEDRO;ITABUNA;BA;-14,7968283;-39,2624031
3407;02985030;RUA GLORIA DE DOURADOS;81;JARDIM PIRITUBA;SAO PAULO;SP;-23,4413278;-46,7201476
3409;69033030;RUA VICENTE TORRES REIS;65;SAO JORGE;MANAUS;AM;-3,1110739;-60,0391554
3410;21645350;RUA LUIS REIS;40;ANCHIETA;RIO DE JANEIRO;RJ;-22,8214869;-43,3944778
3411;07130000;AVENIDA BRIGADEIRO FARIA LIMA;9B;JARDIM TESTAE;GUARULHOS;SP;-23,4553205;-46,5202305
3412;65916280;RUA DOM PEDRO II;1341;BACURI;IMPERATRIZ;MA;-5,5391479;-47,4822266
3414;08526000;AVENIDA GOVERNADOR JANIO QUADROS;991;PARQUE SAO FRANCISCO;FERRAZ DE VASCONCELOS;SP;-23,55461;-46,38216
3416;13736400;RUA SALVADOR ROVIELO;50;COHAB II;MOCOCA;SP;-21,4950259;-47,0074194
3417;89250000;RUA 25 DE JULHO;1359;VILA NOVA;JARAGUA DO SUL;SC;-26,4961822;-49,0784143
3419;08121710;RUA MARGOT FONTEYN;156;JARDIM CAMARGO NOVO;SAO PAULO;SP;-23,5026703;-46,38343
3420;29260000;RUA SILVIA MARILIA;41;CENTRO;DOMINGOS MARTINS;ES;-20,360797;-40,6598105
3421;68740010;RUA SENADOR ANTONIO LEMOS;752;CENTRO;CASTANHAL;PA;-1,2950244;-47,9234634
3422;88440000;RUA 25 DE NOVEMBRO;203;CENTRO;IMBUIA;SC;-27,4905316;-49,4209639
3423;01207001;RUA SANTA EFIGENIA;269;SANTA EFIGENIA;SAO PAULO;SP;-23,4561631;-46,7122839
3424;47850000;RUA IDALINA SCHWEMBER;126;JARDIM IMPERIAL;LUIS EDUARDO MAGALHAES;BA;-12,0904542;-45,7805375
3425;04858580;RUA CONSTELACAO DO ERIDANO;222;JARDIM CAMPINAS;SAO PAULO;SP;-23,7721633;-46,7056353
3426;79086390;RUA BARRA MANSA;243;GUANANDI;CAMPO GRANDE;MS;-20,4983791;-54,6482974
3428;29090290;RUA ALICE BUMACHAR NEFFA;430;JARDIM CAMBURI;VITORIA;ES;-20,2976178;-40,2957768
3429;16200052;RUA CONSELHEIRO ANTONIO PRADO;11;CENTRO;BIRIGUI;SP;-21,2882911;-50,3416881
3430;04845170;RUA PEDRO PETRICEVIC;308;JARDIM REIMBERG;SAO PAULO;SP;-23,7495808;-46,6957057
3431;49075190;RUA DISTRITO FEDERAL;613;SIQUEIRA CAMPOS;ARACAJU;SE;-10,9185391;-37,0734474
3432;68908122;AVENIDA MAE LUZIA;1185A;LAGUINHO;MACAPA;AP;0,0457328;-51,0607538
3433;54420190;RUA DOM VITAL;278;PIEDADE;JABOATAO DOS GUARARAPES;PE;-8,1864483;-34,9208531
3434;68501710;RUA PEDRO MARINHO;2404B;CIDADE NOVA;MARABA;PA;-5,3730445;-49,12845
3435;40725630;RUA AMBROSIO CALMON;33;PERIPERI;SALVADOR;BA;-12,8659263;-38,4745543
3436;22640100;AVENIDA DAS AMERICAS;500;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;-23,0035708;-43,3173069
3437;88804320;RUA VISCONDE DE CAIRU;276;OPERARIA VELHA;CRICIUMA;SC;-28,6875257;-49,3787632
3438;36160000;FAZENDA DA PAZ;SN;ZONA RURAL;GUARANI;MG;-21,359905;-43,0446895
3439;15650000;AVENIDA SAO PAULO;722;CENTRO;ESTRELA D OESTE;SP;-20,2886493;-50,3961192
3440;08191230;AVENIDA TOMAS LOPES DE CAMARGO;178;JARDIM ROMANO;SAO PAULO;SP;-23,4820553;-46,3838242
3441;22753005;ESTRADA DO ITANHANGA;100;ITANHANGA;RIO DE JANEIRO;RJ;-22,9894088;-43,3113114
3442;86300000;RUA PARAIBA;576;CENTRO;CORNELIO PROCOPIO;PR;-23,1852098;-50,6494991
3444;29295000;RUA JOSE JOAO SARTORIO;53;CENTRO;VARGEM ALTA;ES;-20,674002;-41,0098203
3445;01001010;RUA LAURENTINO DOS SANTOS;527;VILA PROGRESSO;SAO PAULO;SP;-23,520799;-46,4387512
3446;37200973;RUA DOUTOR FRANCISCO SALLES;289;CENTRO;LAVRAS;MG;-21,2462951;-45,0006295
3447;45810000;RUA PAU BRASIL;26;PARQUE ECOLOGICO VILA VALDETE;PORTO SEGURO;BA;-16,4058811;-39,0847306
3448;69309690;AVENIDA VENEZUELA;2230;MECEJANA;BOA VISTA;RR;2,8447571;-60,7032454
3449;64920000;BR 135;;CENTRO;CRISTINO CASTRO;PI;-8,8177276;-44,2257436
3450;04041001;AVENIDA ONZE DE JUNHO;332;VILA CLEMENTINO;SAO PAULO;SP;-23,6015005;-46,6400334
3452;88117010;RUA EUGENIO PORTELA;73;BARREIROS;SAO JOSE;SC;-27,5883557;-48,6127508
3453;29112540;RUA ITAPINA;12;RIO MARINHO;VILA VELHA;ES;-20,3670416;-40,3545685
3454;44001525;AVENIDA GETULIO VARGAS;441;CENTRO;FEIRA DE SANTANA;BA;-12,2557201;-38,9558208
3456;88930000;RUA NEREU RAMOS;708;CENTRO;TURVO;SC;-28,9279276;-49,6789957
3457;65590000;RUA MONSENHOR GENTIL;49;CENTRO;BARREIRINHAS;MA;-2,7506765;-42,8273831
3458;68523970;RUA RIO GRANDE DO SUL;111;CENTRO;CURIONOPOLIS;PA;-6,0661643;-49,5610581
3460;32340040;RUA MANOEL TEIXEIRA CAMARGOS;487;GLORIA;CONTAGEM;MG;-19,9380446;-44,0478663
3461;38400748;AVENIDA MONSENHOR EDUARDO;1053;BOM JESUS;UBERLANDIA;MG;-18,9011141;-48,2711427
3462;75834970;AVENIDA QUARTA;15;CENTRO;MINEIROS;GO;-17,5705962;-52,5527978
3463;75388673;RUA ALEIXO ANTONIO ALVES;731;CENTRO;TRINDADE;GO;-16,6505625;-49,4965572
3464;08470420;RUA DOS MARCENEIROS;52;CIDADE TIRADENTES;SAO PAULO;SP;-23,597771;-46,398264
3465;88717000;RUA JOAO MANOEL SILVANO;SN;MORRO GRANDE;SANGAO;SC;-28,633142;-49,1326689
3466;96920000;VARZEA GRANDE;SN;INTERIOR;LAGOA BONITA DO SUL;RS;-29,4898037;-53,0144814
3468;38810000;AVENIDA HERMENEGILDO JOSE DE OLIVEIRA;850;GUARDA DOS FERREIROS;RIO PARANAIBA;MG;-19,1989953;-46,2360029
3469;12245520;RUA PEDRO ERNESTO;111;VILA SANCHES;SAO JOSE DOS CAMPOS;SP;-23,2024284;-45,8860886
3471;73840000;AVENIDA JOEDIR ASSUNCAO COSTA;;SETOR INDUSTRIAL;CAMPOS BELOS;GO;-13,0354207;-46,7685335
3472;42805200;LOCALIDADE CAMINHO D;3;NOVO HORIZONTE;CAMACARI;BA;-12,6969144;-38,3088949
3473;40760480;RUA DOS FERROVIARIOS;16;COUTOS;SALVADOR;BA;-12,9025519;-38,4838772
3474;65278000;RUA HUMBERTO DE CAMPOS;507;CENTRO;TURIACU;MA;-1,6689743;-45,3687326
3475;65770000;RUA MANOEL ABRAAO DE SOUSA;29;CENTRO;GOVERNADOR ARCHER;MA;-4,9333333;-44,3833333
3477;86060650;TRAVESSA TOMAZINA;27;JARDIM DO NORTE;LONDRINA;PR;-23,3044847;-51,1762627
3478;96400010;AVENIDA MARECHAL FLORIANO;901;CENTRO;BAGE;RS;-31,3316003;-54,1041519
3479;37640000;RUA DAS ORQUIDEAS;403;CENTRO;EXTREMA;MG;-22,8571598;-46,3223977
3480;62580000;PRACA MERCADO PUBLICO;3;CENTRO;ACARAU;CE;-2,8880609;-40,1186635
3481;18075610;RUA GALILEU PASQUINELLI;1100;JARDIM BRASILANDIA;SOROCABA;SP;-23,5015299;-47,4525603
3482;16021350;RUA MARCOS MANFRINATI;639;JARDIM JUSSARA;ARACATUBA;SP;-21,2227176;-50,4584365
3484;76280000;AVENIDA DESEMBARGADOR HAMILTON VELASCO;SN;CENTRO;BRITANIA;GO;-15,2432008;-51,1606653
3485;58400180;AVENIDA MARECHAL FLORIANO PEIXOTO;SN;CENTRO;CAMPINA GRANDE;PB;-7,2285547;-35,9036626
3486;13630010;RUA JOSE BONIFACIO;745;CENTRO;PIRASSUNUNGA;SP;-21,9977669;-47,4298538
3488;35010141;RUA MARECHAL FLORIANO;1204;CENTRO;GOVERNADOR VALADARES;MG;-18,8594705;-41,9475674
3489;06010110;RUA DOUTOR ANTONIO JOSE LUCIANO;356;CENTRO;OSASCO;SP;-23,5367108;-46,7746051
3490;89234042;RUA NATANAEL DE AMORIM VIEIRA;700;PARANAGUAMIRIM;JOINVILLE;SC;-26,3498374;-48,7705672
3491;49360000;RUA GENERAL SIQUEIRA;235;CENTRO;BOQUIM;SE;-11,1444609;-37,6160657
3492;58300010;PRACA ANTENOR NAVARRO;141;CENTRO;SANTA RITA;PB;-7,1236452;-34,9811043
3493;13419020;RUA SANTA CRUZ;415;ALEMAES;PIRACICABA;SP;-22,7230326;-47,6421145
3494;42700000;VIA AC PROJETO VIDA NOVA;6;VIDA NOVA;LAURO DE FREITAS;BA;-12,8820575;-38,3148204
3495;17350000;RUA AMANDO SIMOES;573A;CENTRO;IGARACU DO TIETE;SP;-22,5107752;-48,5568111
3496;85415000;RUA DOUTOR PLINIO COSTA;357;CENTRO;CAFELANDIA;PR;-24,6180629;-53,321797
3497;13054443;RUA DOUTOR PAULO ANDRADE NOGUEIRA;342;DIC IV CONJUNTO HABITACIONAL LECH WALESA;CAMPINAS;SP;-22,9837778;-47,1206185
3498;64660000;RUA ODETE ARRAIS;1;CENTRO;PIO IX;PI;-6,84773;-40,5836128
3499;48790000;RUA HELCIO ANDRADE;93;CENTRO;TUCANO;BA;-10,9674306;-38,7842092
3500;08527052;RUA AMERICO TRUFELLI;275;PARQUE DOURADO;FERRAZ DE VASCONCELOS;SP;-23,542254;-46,3689612
3501;59075390;RUA PADRE GERMANO;44;NOVA DESCOBERTA;NATAL;RN;-5,8260714;-35,2036384
3502;41830050;AVENIDA OTAVIO MANGABEIRA;961;PITUBA;SALVADOR;BA;-13,0079366;-38,4607564
3503;02972010;RUA DOMINGOS GIGLIO;14;PIRITUBA;SAO PAULO;SP;-23,4822284;-46,7097085
3504;11535070;RUA JOSE DE PINHO;312;VILA CARAGUATA;CUBATAO;SP;-23,9352523;-46,4284806
3505;08737300;RUA ITAQUAQUECETUBA;30;VILA CLEO;MOGI DAS CRUZES;SP;-23,5448929;-46,203252
3507;55515000;RUA TREZE DE MAIO;162;CENTRO;AMARAJI;PE;-8,3745902;-35,4508339
3509;01548040;RUA GUINLE;232;VILA MONUMENTO;SAO PAULO;SP;-23,5766373;-46,6123302
3510;48475000;RUA FLORIANO PEIXOTO;SN;CENTRO;ITAPICURU;BA;-11,3027821;-38,2385667
3511;42807000;AVENIDA RADIAL A;212;CENTRO;CAMACARI;BA;-12,6984984;-38,3284141
3512;86975000;RUA PADRE ANTONIO LOCK;500;CENTRO;MANDAGUARI;PR;-23,528011;-51,670963
3513;45920970;AVENIDA OCEANICA;649;CENTRO;NOVA VICOSA;BA;-17,8995259;-39,3716146
